Description,Class
HVAC System Service Contract,Other
Gas Utility Bill -in Year-End,Heating
Municipal Water Charge -- South America,Water
Hazardous Waste Disposal -,Waste Disposal
Monthly Power Usage -in South America,Electricity
Non-Hazardous Waste Disposal -- European Operations,Waste Disposal
Non-Hazardous Waste Disposal -- Basel Site,Waste Disposal
Steam Generation Gas -for South America,Heating
Lighting System Replacement,Other
Water Supply -for North America,Water
Bulk Water Purchase -,Water
Solid Waste Management Fee -- Monthey Facility,Waste Disposal
Solid Waste Management Fee -,Waste Disposal
Winter Heating Usage -for Q3 Period,Heating
Recycling Services -for Monthey Facility,Waste Disposal
Fuel Oil Delivery -for R&D Center,Heating
Industrial Waste Pickup -,Waste Disposal
Chemical Waste Disposal -- Manufacturing Plant,Waste Disposal
Grid Power Purchase -- Basel Site,Electricity
Hazardous Waste Disposal -,Waste Disposal
Heating Fuel Purchase -,Heating
Fuel Oil Delivery -,Heating
Monthly Power Usage -- Basel Site,Electricity
Monthly Power Usage -for Global HQ,Electricity
Water Utility Bill -- Q3 Period,Water
Energy Supply Charge -in R&D Center,Electricity
Hazardous Waste Disposal -for Manufacturing Plant,Waste Disposal
Solid Waste Management Fee -- Distribution Center,Waste Disposal
Legal Fees - Patent Litigation,Other
Gas Utility Bill -for European Operations,Heating
Non-Hazardous Waste Disposal -- North America,Waste Disposal
Gas Utility Bill -- Asia Pacific,Heating
Grid Power Purchase -,Electricity
Bulk Water Purchase -for Year-End,Water
Plumbing Fixture Repair,Other
KWh Consumption -,Electricity
Chemical Waste Disposal -,Waste Disposal
Natural Gas Supply -- R&D Center,Heating
Water Consumption -in Year-End,Water
Heating Expense -- Q3 Period,Heating
Electric Utility Bill -in Basel Site,Electricity
Seeds Product Sales - Latin America,Other
Winter Heating Usage -in R&D Center,Heating
Heating Fuel Purchase -,Heating
Chemical Waste Disposal -,Waste Disposal
Natural Gas Supply -,Heating
Utility Meter Calibration,Other
Monthly Water Usage -,Water
Natural Gas Line Inspection Fee,Other
Hazardous Waste Disposal -,Waste Disposal
Monthly Power Usage -- R&D Center,Electricity
Plumbing Fixture Repair,Other
Electric Utility Bill -in Year-End,Electricity
Monthly Power Usage -- R&D Center,Electricity
Electricity Supply -,Electricity
Propane Supply -in Year-End,Heating
Power Quality Audit Service,Other
Chemical Waste Disposal -in South America,Waste Disposal
Municipal Water Charge -in North America,Water
Solid Waste Management Fee -- R&D Center,Waste Disposal
Hazardous Waste Disposal -in R&D Center,Waste Disposal
Heating Expense -in European Operations,Heating
Solid Waste Management Fee -,Waste Disposal
Bulk Water Purchase -in European Operations,Water
Monthly Power Usage -for European Operations,Electricity
Wastewater Discharge Treatment,Other
Potable Water Supply -for Global HQ,Water
Employee Salaries - Month End,Other
Grid Power Purchase -- European Operations,Electricity
Water Quality Testing Fee,Other
Solid Waste Management Fee -for Global HQ,Waste Disposal
Water Supply -for Asia Pacific,Water
Fuel Oil Delivery -in R&D Center,Heating
Water Supply -,Water
Hazardous Waste Disposal -for Basel Site,Waste Disposal
Herbicide Product Sales - Europe Region,Other
Fuel Oil Delivery -- Asia Pacific,Heating
Industrial Waste Pickup -,Waste Disposal
Water Supply -for Year-End,Water
Fuel Oil Delivery -for Basel Site,Heating
KWh Consumption -for Distribution Center,Electricity
Natural Gas Supply -,Heating
Hazardous Waste Disposal -in Global HQ,Waste Disposal
Winter Heating Usage -in Asia Pacific,Heating
Fuel Oil Delivery -- Basel Site,Heating
Winter Heating Usage -- Basel Site,Heating
Energy Supply Charge -- Year-End,Electricity
Gas Utility Bill -,Heating
Grid Power Purchase -,Electricity
Gas Utility Bill -for Manufacturing Plant,Heating
Fuel Oil Delivery -- Monthey Facility,Heating
Fuel Oil Delivery -for North America,Heating
Water Consumption -,Water
Municipal Water Charge -- North America,Water
Fuel Oil Delivery -for Basel Site,Heating
Insurance Premium - General Liability,Other
Natural Gas Supply -for Basel Site,Heating
Water Utility Bill -- Year-End,Water
General Waste Collection -in Manufacturing Plant,Waste Disposal
Utility Meter Calibration,Other
Hazardous Waste Disposal -in Basel Site,Waste Disposal
Water Utility Bill -for Basel Site,Water
Water Supply -- Manufacturing Plant,Water
Gas Utility Bill -- North America,Heating
Municipal Water Charge -- Basel Site,Water
Electricity Meter Reading -,Electricity
Raw Water Intake -in Global HQ,Water
Water Consumption -- Asia Pacific,Water
Recycling Program Audit,Other
Water Utility Bill -for Asia Pacific,Water
Energy Supply Charge -in R&D Center,Electricity
Monthly Power Usage -for Q3 Period,Electricity
Recycling Services -for Q3 Period,Waste Disposal
KWh Consumption -in Year-End,Electricity
Raw Water Intake -,Water
Potable Water Supply -,Water
Incinerator Maintenance Fee,Other
Monthly Water Usage -- Basel Site,Water
Water Quality Testing Fee,Other
Heating Fuel Purchase -,Heating
Water Supply -- European Operations,Water
KWh Consumption -for Basel Site,Electricity
Industrial Waste Pickup -in Distribution Center,Waste Disposal
Steam Generation Gas -for European Operations,Heating
Non-Hazardous Waste Disposal -- Manufacturing Plant,Waste Disposal
General Waste Collection -- Monthey Facility,Waste Disposal
Steam Generation Gas -in European Operations,Heating
KWh Consumption -in Q3 Period,Electricity
Emergency Generator Fuel,Other
Solar Panel Installation Cost,Other
Recycling Services -,Waste Disposal
Steam Generation Gas -in Asia Pacific,Heating
Propane Supply -for Year-End,Heating
Bulk Water Purchase -for Year-End,Water
Winter Heating Usage -,Heating
Raw Water Intake -,Water
Heating Expense -- Q3 Period,Heating
Power Consumption -in European Operations,Electricity
Recycling Services -,Waste Disposal
Electric Utility Bill -for Asia Pacific,Electricity
Propane Supply -for Global HQ,Heating
Water Supply -in Q3 Period,Water
Power Consumption -,Electricity
Herbicide Product Sales - Europe Region,Other
Electricity Meter Reading -in Monthey Facility,Electricity
Industrial Waste Pickup -,Waste Disposal
Industrial Waste Pickup -in Year-End,Waste Disposal
Electric Utility Bill -- R&D Center,Electricity
General Waste Collection -,Waste Disposal
Non-Hazardous Waste Disposal -- Distribution Center,Waste Disposal
Industrial Waste Pickup -in Distribution Center,Waste Disposal
Water Utility Bill -for R&D Center,Water
Electricity Meter Reading -for Basel Site,Electricity
Power Consumption -for Monthey Facility,Electricity
Electricity Supply -in Basel Site,Electricity
Incinerator Maintenance Fee,Other
Waste Management Consulting Service,Other
Industrial Waste Pickup -,Waste Disposal
Monthly Water Usage -for Year-End,Water
Power Consumption -,Electricity
Water Supply -,Water
Marketing Campaign - Digital Ads,Other
Incinerator Maintenance Fee,Other
Monthly Water Usage -for Manufacturing Plant,Water
Non-Hazardous Waste Disposal -for Distribution Center,Waste Disposal
Raw Water Intake -for Basel Site,Water
IT System Upgrade - Software Licenses,Other
Heating Fuel Purchase -in Basel Site,Heating
Monthly Water Usage -- Monthey Facility,Water
Electric Utility Bill -,Electricity
Energy Supply Charge -in North America,Electricity
KWh Consumption -in South America,Electricity
Heating Fuel Purchase -,Heating
Winter Heating Usage -,Heating
Electricity Supply -for Monthey Facility,Electricity
Water Utility Bill -- Year-End,Water
Non-Hazardous Waste Disposal -,Waste Disposal
KWh Consumption -for Manufacturing Plant,Electricity
IT System Upgrade - Software Licenses,Other
Electricity Supply -in North America,Electricity
KWh Consumption -for Q3 Period,Electricity
Water Consumption -in Year-End,Water
Solid Waste Management Fee -for Q3 Period,Waste Disposal
Power Consumption -for South America,Electricity
Electric Utility Bill -,Electricity
Water Utility Bill -for North America,Water
Insulation Material Purchase,Other
Energy Efficiency Study,Other
Electricity Supply -,Electricity
Energy Supply Charge -- Basel Site,Electricity
Gas Utility Bill -in Global HQ,Heating
Recycling Services -in Year-End,Waste Disposal
Water Consumption -in Distribution Center,Water
Insulation Material Purchase,Other
Water Consumption -- Distribution Center,Water
Power Consumption -- Asia Pacific,Electricity
Energy Efficiency Study,Other
Water Consumption -for South America,Water
Winter Heating Usage -- European Operations,Heating
Recycling Services -for South America,Waste Disposal
Wastewater Discharge Treatment,Other
Bulk Water Purchase -for South America,Water
Non-Hazardous Waste Disposal -- Basel Site,Waste Disposal
Energy Supply Charge -for Monthey Facility,Electricity
Propane Supply -,Heating
Monthly Power Usage -,Electricity
Industrial Waste Pickup -for Asia Pacific,Waste Disposal
Recycling Services -- R&D Center,Waste Disposal
Heating Fuel Purchase -- Year-End,Heating
Electric Utility Bill -- Monthey Facility,Electricity
Heating Expense -for South America,Heating
Potable Water Supply -,Water
Raw Water Intake -in North America,Water
Raw Water Intake -in Global HQ,Water
Electricity Supply -in Manufacturing Plant,Electricity
Industrial Waste Pickup -for R&D Center,Waste Disposal
Water Supply -for South America,Water
Grid Power Purchase -for Global HQ,Electricity
Heating Expense -in Monthey Facility,Heating
Chemical Waste Disposal -- South America,Waste Disposal
Electricity Meter Reading -in R&D Center,Electricity
Recycling Services -in Global HQ,Waste Disposal
Electricity Meter Reading -in R&D Center,Electricity
Power Quality Audit Service,Other
Winter Heating Usage -,Heating
Recycling Services -,Waste Disposal
Winter Heating Usage -for Monthey Facility,Heating
Plumbing Fixture Repair,Other
Medical Waste Collection -- South America,Waste Disposal
Gas Utility Bill -,Heating
Waste Sorting Equipment Lease,Other
Marketing Campaign - Digital Ads,Other
Water Supply -,Water
General Waste Collection -in Distribution Center,Waste Disposal
Monthly Power Usage -,Electricity
Potable Water Supply -- Manufacturing Plant,Water
Water Utility Bill -for Distribution Center,Water
Energy Supply Charge -- Year-End,Electricity
Electric Utility Bill -- Manufacturing Plant,Electricity
Electricity Supply -,Electricity
Chemical Waste Disposal -in Basel Site,Waste Disposal
Gas Utility Bill -,Heating
Natural Gas Supply -,Heating
Raw Water Intake -in Monthey Facility,Water
Power Consumption -for South America,Electricity
Wastewater Discharge Treatment,Other
Water Quality Testing Fee,Other
Cooling Tower Water Treatment Chemicals,Other
Gas Utility Bill -,Heating
Steam Generation Gas -for Global HQ,Heating
Power Quality Audit Service,Other
Gas Utility Bill -in Global HQ,Heating
Raw Water Intake -,Water
Steam Generation Gas -for Manufacturing Plant,Heating
Gas Utility Bill -,Heating
Propane Supply -for European Operations,Heating
Non-Hazardous Waste Disposal -for South America,Waste Disposal
Fuel Oil Delivery -for Basel Site,Heating
Municipal Water Charge -in European Operations,Water
Insurance Premium - General Liability,Other
Heating Fuel Purchase -in South America,Heating
Propane Supply -,Heating
Water Consumption -- Year-End,Water
Electricity Supply -in Manufacturing Plant,Electricity
Industrial Waste Pickup -for Asia Pacific,Waste Disposal
Heating Element Replacement,Other
Boiler System Repair,Other
Fuel Oil Delivery -- European Operations,Heating
Lighting System Replacement,Other
Heating Expense -for R&D Center,Heating
Natural Gas Supply -for Year-End,Heating
Steam Generation Gas -,Heating
Heating Expense -in R&D Center,Heating
Solid Waste Management Fee -for Year-End,Waste Disposal
Municipal Water Charge -,Water
Non-Hazardous Waste Disposal -in Basel Site,Waste Disposal
Water Utility Bill -for R&D Center,Water
Propane Supply -in Asia Pacific,Heating
Electricity Meter Reading -for Year-End,Electricity
Monthly Power Usage -in South America,Electricity
Industrial Waste Pickup -- R&D Center,Waste Disposal
Chemical Waste Disposal -,Waste Disposal
Grid Power Purchase -,Electricity
Fungicide Product Sales - North America,Other
Winter Heating Usage -- Asia Pacific,Heating
Winter Heating Usage -for Global HQ,Heating
Recycling Services -in Global HQ,Waste Disposal
Electricity Meter Reading -for South America,Electricity
Municipal Water Charge -for Year-End,Water
Solid Waste Management Fee -in Global HQ,Waste Disposal
Non-Hazardous Waste Disposal -- Basel Site,Waste Disposal
Grid Power Purchase -- South America,Electricity
Power Consumption -- European Operations,Electricity
Municipal Water Charge -for Asia Pacific,Water
Natural Gas Supply -in R&D Center,Heating
KWh Consumption -,Electricity
Electricity Meter Reading -,Electricity
Heating Fuel Purchase -- Monthey Facility,Heating
Employee Salaries - Month End,Other
KWh Consumption -- Monthey Facility,Electricity
Water System Cleaning & Descaling,Other
Electricity Meter Reading -- Q3 Period,Electricity
Solar Panel Installation Cost,Other
Recycling Services -,Waste Disposal
Water Utility Bill -for Distribution Center,Water
Steam Generation Gas -in Asia Pacific,Heating
Non-Hazardous Waste Disposal -in Global HQ,Waste Disposal
Electricity Supply -for South America,Electricity
Gas Utility Bill -,Heating
Potable Water Supply -- North America,Water
Chemical Waste Disposal -,Waste Disposal
Water Utility Bill -,Water
Monthly Water Usage -- Basel Site,Water
Water Supply -- Global HQ,Water
Heating Expense -in Q3 Period,Heating
Industrial Waste Pickup -,Waste Disposal
Gas Utility Bill -- European Operations,Heating
Power Quality Audit Service,Other
Water Consumption -for Q3 Period,Water
Electric Utility Bill -,Electricity
KWh Consumption -for Asia Pacific,Electricity
Non-Hazardous Waste Disposal -- Distribution Center,Waste Disposal
Water Consumption -,Water
Power Quality Audit Service,Other
Water Utility Bill -- Monthey Facility,Water
Municipal Water Charge -- South America,Water
Non-Hazardous Waste Disposal -for Basel Site,Waste Disposal
Chemical Waste Disposal -in Asia Pacific,Waste Disposal
Natural Gas Supply -in Asia Pacific,Heating
Water Consumption -in Basel Site,Water
Monthly Water Usage -in Distribution Center,Water
Gas Utility Bill -,Heating
Power Consumption -in Monthey Facility,Electricity
Industrial Waste Pickup -for Basel Site,Waste Disposal
Non-Hazardous Waste Disposal -- Manufacturing Plant,Waste Disposal
Monthly Power Usage -,Electricity
Propane Supply -for North America,Heating
Solid Waste Management Fee -- Year-End,Waste Disposal
Water Quality Testing Fee,Other
Hazardous Waste Disposal -,Waste Disposal
Heating Fuel Purchase -,Heating
Propane Supply -for Monthey Facility,Heating
General Waste Collection -for R&D Center,Waste Disposal
Potable Water Supply -for Distribution Center,Water
Chemical Waste Disposal -,Waste Disposal
Monthly Power Usage -in Asia Pacific,Electricity
Recycling Services -for Global HQ,Waste Disposal
Chemical Waste Disposal -,Waste Disposal
Recycling Services -- European Operations,Waste Disposal
Steam Generation Gas -for R&D Center,Heating
Grid Power Purchase -for European Operations,Electricity
Non-Hazardous Waste Disposal -- Monthey Facility,Waste Disposal
Raw Water Intake -for Basel Site,Water
Potable Water Supply -,Water
Heating Expense -- European Operations,Heating
Recycling Services -,Waste Disposal
Heating Expense -in European Operations,Heating
Water Supply -in South America,Water
Monthly Power Usage -for Manufacturing Plant,Electricity
Natural Gas Line Inspection Fee,Other
Environmental Impact Assessment,Other
KWh Consumption -for South America,Electricity
Propane Supply -- Manufacturing Plant,Heating
Energy Supply Charge -- South America,Electricity
KWh Consumption -- South America,Electricity
Electricity Supply -- Distribution Center,Electricity
Monthly Water Usage -- South America,Water
Chemical Waste Disposal -for R&D Center,Waste Disposal
Potable Water Supply -- European Operations,Water
Environmental Impact Assessment,Other
Hazardous Waste Disposal -for Global HQ,Waste Disposal
Electricity Supply -for South America,Electricity
Propane Supply -,Heating
Marketing Campaign - Digital Ads,Other
Potable Water Supply -in Basel Site,Water
Water Utility Bill -- Q3 Period,Water
Municipal Water Charge -in Asia Pacific,Water
Gas Utility Bill -,Heating
Gas Utility Bill -,Heating
Solid Waste Management Fee -for South America,Waste Disposal
Monthly Power Usage -for Basel Site,Electricity
Fuel Oil Delivery -- South America,Heating
Solid Waste Management Fee -- Basel Site,Waste Disposal
Electric Utility Bill -- Manufacturing Plant,Electricity
Chemical Waste Disposal -for European Operations,Waste Disposal
Hazardous Waste Disposal -- Asia Pacific,Waste Disposal
Municipal Water Charge -for South America,Water
Seeds Product Sales - Latin America,Other
Natural Gas Supply -for Q3 Period,Heating
Electricity Supply -- Global HQ,Electricity
Industrial Waste Pickup -- North America,Waste Disposal
Environmental Impact Assessment,Other
Water Consumption -in Q3 Period,Water
Natural Gas Supply -,Heating
KWh Consumption -in South America,Electricity
Water Utility Bill -,Water
Insurance Premium - General Liability,Other
Monthly Water Usage -,Water
Bulk Water Purchase -,Water
Electrical System Maintenance Contract,Other
Recycling Services -- North America,Waste Disposal
Water Supply -in R&D Center,Water
Insulation Material Purchase,Other
Winter Heating Usage -in South America,Heating
Fuel Oil Delivery -- Manufacturing Plant,Heating
HVAC System Service Contract,Other
Raw Water Intake -for European Operations,Water
Recycling Services -- North America,Waste Disposal
Electricity Supply -- Basel Site,Electricity
Water Quality Testing Fee,Other
Gas Utility Bill -for Basel Site,Heating
Electricity Supply -,Electricity
Electricity Supply -- European Operations,Electricity
Solid Waste Management Fee -for Asia Pacific,Waste Disposal
Electricity Supply -in Year-End,Electricity
Marketing Campaign - Digital Ads,Other
Landfill Site Permit Renewal,Other
Propane Supply -,Heating
Hazardous Waste Disposal -in Manufacturing Plant,Waste Disposal
Municipal Water Charge -for Manufacturing Plant,Water
Temperature Control System Upgrade,Other
Industrial Waste Pickup -,Waste Disposal
Grid Power Purchase -for European Operations,Electricity
Chemical Waste Disposal -,Waste Disposal
KWh Consumption -,Electricity
Non-Hazardous Waste Disposal -for Q3 Period,Waste Disposal
Chemical Waste Disposal -in European Operations,Waste Disposal
Water Consumption -for Manufacturing Plant,Water
Heating Fuel Purchase -for Basel Site,Heating
Steam Generation Gas -- R&D Center,Heating
Water Utility Bill -for Year-End,Water
Propane Supply -- R&D Center,Heating
Monthly Water Usage -- North America,Water
Recycling Services -for Asia Pacific,Waste Disposal
Municipal Water Charge -for Manufacturing Plant,Water
Natural Gas Supply -- Year-End,Heating
Monthly Power Usage -- Asia Pacific,Electricity
Municipal Water Charge -in Asia Pacific,Water
Water Utility Bill -for Asia Pacific,Water
Propane Supply -for Distribution Center,Heating
Propane Supply -,Heating
Non-Hazardous Waste Disposal -,Waste Disposal
Monthly Power Usage -for Distribution Center,Electricity
Electric Utility Bill -- Manufacturing Plant,Electricity
Recycling Services -for Basel Site,Waste Disposal
Recycling Services -- South America,Waste Disposal
Monthly Power Usage -- Basel Site,Electricity
Grid Power Purchase -- Global HQ,Electricity
Monthly Water Usage -in Year-End,Water
Heat Exchanger Cleaning,Other
Municipal Water Charge -- European Operations,Water
KWh Consumption -,Electricity
Recycling Services -,Waste Disposal
Raw Water Intake -for Q3 Period,Water
Electric Utility Bill -in North America,Electricity
Water Consumption -in Basel Site,Water
Energy Supply Charge -- Monthey Facility,Electricity
Medical Waste Collection -for Q3 Period,Waste Disposal
Steam Generation Gas -- Asia Pacific,Heating
Monthly Power Usage -,Electricity
Power Consumption -in Asia Pacific,Electricity
Natural Gas Supply -- Year-End,Heating
Electricity Meter Reading -- Asia Pacific,Electricity
Industrial Waste Pickup -for Year-End,Waste Disposal
Emergency Generator Fuel,Other
Chemical Waste Disposal -- Distribution Center,Waste Disposal
Heating Fuel Purchase -,Heating
Water Supply -,Water
Steam Generation Gas -in Monthey Facility,Heating
Municipal Water Charge -for Distribution Center,Water
Recycling Services -,Waste Disposal
Natural Gas Supply -,Heating
Steam Generation Gas -,Heating
Potable Water Supply -for R&D Center,Water
Grid Infrastructure Consulting Fee,Other
Recycling Services -- Monthey Facility,Waste Disposal
Hazardous Waste Disposal -in Q3 Period,Waste Disposal
Water Consumption -,Water
Recycling Program Audit,Other
Monthly Power Usage -,Electricity
Potable Water Supply -for Monthey Facility,Water
Non-Hazardous Waste Disposal -for Distribution Center,Waste Disposal
Fuel Oil Delivery -for Q3 Period,Heating
Power Consumption -for Monthey Facility,Electricity
Monthly Water Usage -- European Operations,Water
Water Consumption -in R&D Center,Water
Bulk Water Purchase -for Asia Pacific,Water
Wastewater Discharge Treatment,Other
Solid Waste Management Fee -in Distribution Center,Waste Disposal
Recycling Services -- European Operations,Waste Disposal
Bulk Water Purchase -in Q3 Period,Water
General Waste Collection -in R&D Center,Waste Disposal
Electricity Meter Reading -,Electricity
Electricity Meter Reading -- Manufacturing Plant,Electricity
Natural Gas Supply -in Q3 Period,Heating
Chemical Waste Disposal -for Asia Pacific,Waste Disposal
Non-Hazardous Waste Disposal -in Year-End,Waste Disposal
Solid Waste Management Fee -- Distribution Center,Waste Disposal
Grid Power Purchase -- Distribution Center,Electricity
Water Purity Analysis,Other
General Waste Collection -for Q3 Period,Waste Disposal
Recycling Services -in Year-End,Waste Disposal
Winter Heating Usage -for European Operations,Heating
Power Consumption -for Global HQ,Electricity
Boiler System Repair,Other
General Waste Collection -- Basel Site,Waste Disposal
Boiler System Repair,Other
Non-Hazardous Waste Disposal -for Monthey Facility,Waste Disposal
IT System Upgrade - Software Licenses,Other
Natural Gas Supply -in Asia Pacific,Heating
Natural Gas Supply -- Q3 Period,Heating
Energy Supply Charge -,Electricity
Insulation Material Purchase,Other
Chemical Waste Disposal -for North America,Waste Disposal
Temperature Control System Upgrade,Other
Water Supply -- European Operations,Water
Solid Waste Management Fee -for Distribution Center,Waste Disposal
Bulk Water Purchase -- Manufacturing Plant,Water
Recycling Services -in Year-End,Waste Disposal
Fuel Oil Delivery -- South America,Heating
Lighting System Replacement,Other
Electricity Supply -- South America,Electricity
Industrial Waste Pickup -,Waste Disposal
Electric Utility Bill -- European Operations,Electricity
Municipal Water Charge -- Q3 Period,Water
Municipal Water Charge -,Water
Heating Expense -in Year-End,Heating
General Waste Collection -for Distribution Center,Waste Disposal
Propane Supply -- Asia Pacific,Heating
Chemical Waste Disposal -in Manufacturing Plant,Waste Disposal
Bulk Water Purchase -in Global HQ,Water
Winter Heating Usage -for European Operations,Heating
Recycling Services -for Manufacturing Plant,Waste Disposal
Hazardous Waste Disposal -,Waste Disposal
Water Utility Bill -for Manufacturing Plant,Water
Electricity Meter Reading -- Basel Site,Electricity
Water Purity Analysis,Other
Fuel Oil Delivery -- South America,Heating
Monthly Power Usage -,Electricity
Power Consumption -- North America,Electricity
Grid Power Purchase -in Year-End,Electricity
General Waste Collection -for Monthey Facility,Waste Disposal
Raw Water Intake -in Q3 Period,Water
Plumbing Fixture Repair,Other
Industrial Waste Pickup -- Q3 Period,Waste Disposal
Water Quality Testing Fee,Other
Municipal Water Charge -for Manufacturing Plant,Water
General Waste Collection -- Year-End,Waste Disposal
Legal Fees - Patent Litigation,Other
Hazardous Waste Disposal -- R&D Center,Waste Disposal
Fungicide Product Sales - North America,Other
Recycling Services -for South America,Waste Disposal
General Waste Collection -in Monthey Facility,Waste Disposal
Power Quality Audit Service,Other
General Waste Collection -- Asia Pacific,Waste Disposal
Water Supply -for South America,Water
Water Supply -for Basel Site,Water
Water Consumption -in European Operations,Water
Raw Water Intake -- Monthey Facility,Water
Gas Utility Bill -- Q3 Period,Heating
Insurance Premium - General Liability,Other
Chemical Waste Disposal -- Global HQ,Waste Disposal
Electricity Meter Reading -for R&D Center,Electricity
Power Quality Audit Service,Other
Electricity Meter Reading -in European Operations,Electricity
Energy Supply Charge -in Year-End,Electricity
Winter Heating Usage -for Manufacturing Plant,Heating
Raw Water Intake -for Distribution Center,Water
Chemical Waste Disposal -for Distribution Center,Waste Disposal
Monthly Power Usage -,Electricity
KWh Consumption -,Electricity
Grid Power Purchase -in South America,Electricity
Grid Power Purchase -for Global HQ,Electricity
Industrial Waste Pickup -for Basel Site,Waste Disposal
Potable Water Supply -,Water
Fungicide Product Sales - North America,Other
Gas Utility Bill -,Heating
Monthly Water Usage -for Basel Site,Water
Industrial Waste Pickup -- European Operations,Waste Disposal
Grid Power Purchase -- Manufacturing Plant,Electricity
Electricity Supply -,Electricity
Potable Water Supply -,Water
Grid Power Purchase -,Electricity
Recycling Services -,Waste Disposal
Energy Supply Charge -,Electricity
Electricity Meter Reading -- Basel Site,Electricity
Electricity Supply -- Asia Pacific,Electricity
Waste Management Consulting Service,Other
Water Consumption -- Q3 Period,Water
Potable Water Supply -,Water
Monthly Water Usage -for Distribution Center,Water
Raw Water Intake -in Manufacturing Plant,Water
Chemical Waste Disposal -- North America,Waste Disposal
Water Consumption -for South America,Water
Water Consumption -in European Operations,Water
Power Consumption -- Manufacturing Plant,Electricity
Heating Expense -- Q3 Period,Heating
Electric Utility Bill -- European Operations,Electricity
Heating Expense -in Distribution Center,Heating
Monthly Water Usage -,Water
Municipal Water Charge -,Water
Water Utility Bill -for Manufacturing Plant,Water
Natural Gas Line Inspection Fee,Other
Wastewater Discharge Treatment,Other
Power Consumption -,Electricity
Water Utility Bill -in North America,Water
Environmental Impact Assessment,Other
Energy Supply Charge -for European Operations,Electricity
Electricity Meter Reading -,Electricity
Heating Fuel Purchase -- North America,Heating
Grid Power Purchase -,Electricity
Industrial Waste Pickup -,Waste Disposal
General Waste Collection -in Global HQ,Waste Disposal
General Waste Collection -,Waste Disposal
Water Supply -,Water
Water Utility Bill -- Distribution Center,Water
Steam Generation Gas -in Global HQ,Heating
Gas Utility Bill -for Manufacturing Plant,Heating
Monthly Water Usage -- Global HQ,Water
Winter Heating Usage -in R&D Center,Heating
Raw Water Intake -- South America,Water
Municipal Water Charge -- South America,Water
Raw Water Intake -- Q3 Period,Water
Gas Utility Bill -in European Operations,Heating
Transformer Upgrade Project,Other
Energy Supply Charge -in Year-End,Electricity
Electric Utility Bill -- Asia Pacific,Electricity
Raw Water Intake -- Monthey Facility,Water
Hazardous Waste Disposal -in Global HQ,Waste Disposal
Power Consumption -,Electricity
Heating Expense -,Heating
Grid Power Purchase -for R&D Center,Electricity
Industrial Waste Pickup -for European Operations,Waste Disposal
Municipal Water Charge -in Distribution Center,Water
Wastewater Discharge Treatment,Other
Medical Waste Collection -for South America,Waste Disposal
Chemical Waste Disposal -- Monthey Facility,Waste Disposal
General Waste Collection -,Waste Disposal
Natural Gas Supply -,Heating
Electricity Supply -- R&D Center,Electricity
Industrial Waste Pickup -,Waste Disposal
Raw Water Intake -for Asia Pacific,Water
KWh Consumption -- Manufacturing Plant,Electricity
Energy Supply Charge -- Asia Pacific,Electricity
Steam Generation Gas -in North America,Heating
Steam Generation Gas -for Asia Pacific,Heating
Water Utility Bill -,Water
Hazardous Waste Disposal -in Monthey Facility,Waste Disposal
Heating Fuel Purchase -in Global HQ,Heating
Legal Fees - Patent Litigation,Other
Water Utility Bill -- Asia Pacific,Water
Raw Water Intake -for Asia Pacific,Water
Water Supply -- Asia Pacific,Water
Water Consumption -in Distribution Center,Water
Heat Exchanger Cleaning,Other
Heating Fuel Purchase -for Year-End,Heating
Electricity Meter Reading -in Q3 Period,Electricity
Heat Exchanger Cleaning,Other
Electricity Supply -in Basel Site,Electricity
Heating Fuel Purchase -,Heating
Fuel Oil Delivery -for Monthey Facility,Heating
General Waste Collection -for R&D Center,Waste Disposal
Electric Utility Bill -- Manufacturing Plant,Electricity
Monthly Power Usage -,Electricity
Grid Power Purchase -in Year-End,Electricity
Medical Waste Collection -- North America,Waste Disposal
Natural Gas Supply -- R&D Center,Heating
KWh Consumption -in Asia Pacific,Electricity
Winter Heating Usage -for Distribution Center,Heating
Natural Gas Supply -,Heating
Heating Fuel Purchase -,Heating
Industrial Waste Pickup -for Year-End,Waste Disposal
KWh Consumption -for Q3 Period,Electricity
Potable Water Supply -,Water
HVAC System Service Contract,Other
Heating Expense -in Manufacturing Plant,Heating
Medical Waste Collection -for Distribution Center,Waste Disposal
Waste Management Consulting Service,Other
Medical Waste Collection -for Manufacturing Plant,Waste Disposal
Electricity Meter Reading -- Manufacturing Plant,Electricity
Water Utility Bill -in Manufacturing Plant,Water
Raw Water Intake -- Q3 Period,Water
Heating Fuel Purchase -- R&D Center,Heating
Hazardous Waste Disposal -- Monthey Facility,Waste Disposal
KWh Consumption -- South America,Electricity
Medical Waste Collection -,Waste Disposal
Natural Gas Line Inspection Fee,Other
Industrial Waste Pickup -in Q3 Period,Waste Disposal
Propane Supply -in European Operations,Heating
Heating Fuel Purchase -- Asia Pacific,Heating
Grid Power Purchase -for Monthey Facility,Electricity
Electricity Supply -in Global HQ,Electricity
Potable Water Supply -- Global HQ,Water
Natural Gas Supply -for European Operations,Heating
Chemical Waste Disposal -,Waste Disposal
Electricity Supply -- South America,Electricity
Natural Gas Supply -- Distribution Center,Heating
Electrical System Maintenance Contract,Other
Municipal Water Charge -- Global HQ,Water
Medical Waste Collection -for European Operations,Waste Disposal
Utility Meter Calibration,Other
Bulk Water Purchase -- European Operations,Water
